url,price,city,neighbourhood,bedrooms,bathrooms,surface_area,property_type,latitude,longitude,description,furnished,property_mortgaged,lister_type,facade,building_age
https://bahu.ly/en/offers-details/residential-for-sale/house-3-floors-al-salam-district-e992f27f,"1,000,000 LYD",Benghazi,Hay Es Salem,7,5,620 sqm,House,32.1422308,20.118664,"Three-story house for sale | Al Salam District – Benghazi. Special offer from Al Qawarsha Real Estate Office.
Code: 2314
Location: Benghazi – Al Salam District
Land Area: 620 m²
Built-up Area: 320 m²
Floor Details:
First Floor:
3 Bedrooms
2 Bathrooms
1 External Bathroom
Kitchen + Storage
2 Large Living Rooms
Reception Room
Garden behind the house that can be used to build an apartment or storage
Second Floor:
2 Apartments
Each apartment contains:
2 Bedrooms, Living Room, Bathroom, Kitchen, Reception Room
Third Floor:
Complete Apartment
Additional Features:
Paved Street
Prime Location opposite the Mosque
Price: 1,000,000 Libyan Dinars
Al Qawarsha Real Estate Investment and General Contracting Office is pleased to serve you and answer your inquiries.",0,0,Agent,,
https://bahu.ly/en/offers-details/residential-for-sale/villa-two-floors-al-salam-district-4830a999,"1,250,000 LYD",Benghazi,Hay Es Salem,7,5,600 sqm,Villa,32.1422308,20.118664,"Special Offer from Al Qawarsha Real Estate Office: Two-Story Villa | Al Salam District – Benghazi
Code: 2320
Location: Benghazi – Al Salam District, within the ""State Plan""
On 3 Streets
Opposite a Square
Villa Dimensions:
Land Area: 600 m²
Built-up Area: 400 m²
Apartment Area: 200 m²
Villa Details:
4 Apartments, 2 Apartments per Floor
Apartment Details:
3 Bedrooms
Reception Room
Living Room
2 Bathrooms
Additional Information:
Properties: Property Certificate
Cash Sale: 1,250,000 Libyan Dinars
Check: 1,500,000 Libyan Dinars
Al Qawarsha Real Estate Investment and General Contracting Office is pleased to serve you and answer your inquiries",0,0,Agent,,
https://bahu.ly/en/offers-details/residential-for-sale/apartment-balconies-aqzeer-area-025270b6,"265,000 LYD",Misrata,9th of July,3,2,,Apartment,32.351624,15.0959302,"Abu Leifa Real Estate presents a special investment opportunity – Apartment for Sale
Location:
Aqzeer Area – June 11 Buildings
Property Details:
Floor: Third
Consists of:
3 Bedrooms
Women's Living Room
Reception Room
2 Bathrooms
Kitchen
Balconies
Legal Documents:
Private and Complete Ownership Documents
Price:
Asking Price: 265,000 LYD
Available Payment Methods: Cash or Bank Financing
Notes:
Fully Finished Apartment
For inquiries or more information – Contact or WhatsApp | Abu Leifa Real Estate",0,0,Owner,,
https://bahu.ly/en/offers-details/residential-for-sale/house-modern-janzour-area-e4085de5,"470,000 LYD",Tripoli,Janzour,3,3,300 sqm,House,32.811981,13.0135612,"Emaar Real Estate Janzour Al-Sarraj presents a special investment opportunity – a modern house for sale.
Location:
Janzour Area – Khallat Al-Fandi, 6 km Road
Near Oya International School
In a gated residential area with excellent neighbors
Property Details:
Land Area: 300 m²
Built-up Area: 185 m²
The house consists of:
3 Bedrooms
2 Bathrooms
Living Room
Hall
Kitchen
Price:
Asking Price: 470,000 LYD
For inquiries or more information – contact us via phone or WhatsApp | Emaar Real Estate Janzour Al-Sarraj",0,0,Owner,,0.0
https://bahu.ly/en/offers-details/residential-for-sale/apartment-modern-finishing-al-siraj-bafcb97a,"335,000 LYD",Tripoli,Al Serraj,3,2,145 sqm,Apartment,32.8219063,13.0760273,"Istanbul Neighborhood Real Estate Office presents a special offer for an apartment for sale in a prime residential location.
Location:
Al-Siraj
Istanbul Street
Near the Shadows of Paradise Mosque
Apartment Details:
Roofed Area: Approximately 145 square meters
Ground Floor
Building has only three floors
Dedicated parking space available
East-facing and sea-facing facade
Apartment Layout:
Men's reception room with bathroom
Kitchen
Balcony
Master bedroom with bathroom
Two bedrooms with a shared bathroom
Additional Information:
Quiet and prime location
Suitable for family living
Price:
335,000 Libyan Dinars
Negotiable within reason
For inquiries or more information, please contact Istanbul Neighborhood Real Estate Office by phone or WhatsApp.",0,0,Agent,,
https://bahu.ly/en/offers-details/residential-for-sale/two-villas-two-separate-floors-qunfuda-3d8d041b,,Benghazi,Ganfouda,6,5,380 sqm,Villa,32.0286428,20.0271001,"Al-Qawarsha Real Estate Office presents a special offer | Two villas for sale | Qunfuda – Benghazi
Code: 2342
Location: Benghazi – Qunfuda
Land Area: 380 m²
Built Area per Floor: 200 m²
Details of each villa:
Ground Floor:
3 Bedrooms
3 Bathrooms
Kitchen
Living Room
Salon
First Floor:
3 Bedrooms
2 Bathrooms
Kitchen
Living Room
Salon
Features:
Two separate floors per villa
Fully finished – Turnkey
Prime and quiet location
Suitable for family living or investment
Procedures: Legal documents
Al-Qawarsha Real Estate Investment and General Contracting Office is pleased to serve you and answer all your inquiries.",0,0,Agent,,
https://bahu.ly/en/offers-details/residential-for-sale/house-good-nafu-neighborhood-803fefc6,,Benghazi,Hawary,3,2,500 sqm,House,32.0437183,20.1343032,"Al-Qawarsha Real Estate Office presents a special offer | House for sale
Code: 2350
Location: Al-Hawari - Benghazi, Nafu Neighborhood
Areas:
Land area: 500 m² (on two streets)
Built area: 150 m²
House details:
3 bedrooms
Living room
Kitchen
Separate bathroom for each bedroom
Reception room
Staircase leading to the roof
Al-Qawarsha Real Estate Investment and General Contracting Office is pleased to serve you and answer all your inquiries.",0,0,Agent,,
https://bahu.ly/en/offers-details/residential-for-sale/villa-5-separate-floors-zenata-5cab28d5,"3,250,000 LYD",Tripoli,Tariq Zanatah,7,7,490 sqm,Villa,32.86637479999999,13.2294047,"The owner of this property presents a special offer: a villa for sale.
Location: Zenata. Nearest point: Zenata Stadium.
Property Details:
Number of Floors: 5 separate floors
Land Area: 490 m²
Total Built Area: 1,100 m²
The villa consists of:
Bedrooms
Living Rooms
Bathrooms
Kitchens
Description:
A luxurious villa suitable for living or investment.
Located close to essential services and amenities.
Price:
3,250,000 dinars
For inquiries or more information: Contact via phone or WhatsApp – Al Wajha Real Estate",0,0,Owner,,
https://bahu.ly/en/offers-details/residential-for-sale/apartment-first-floor-sayeda-aisha-9a628c8c,"330,000 LYD",Benghazi,saida aisha,2,2,,Apartment,32.0547375,20.1194219,"Special Offer from Al Diwan Real Estate Development and Investment Company | Apartment for Sale
Area: 120 sq m
First Floor
Location:
Sayeda Aisha, Al Jawhara 11
Near Al Rawasi Compound
Apartment Details:
Two Bedrooms
Two Bathrooms
Living Room
Reception Room
Kitchen
Balcony
Additional Information:
Building on Two Streets
Excellent Ventilation
Street View
Price:
330,000 LYD Cash
360,000 LYD Installments (Bank)
For inquiries or more information: Call or WhatsApp",0,0,Owner,,
https://bahu.ly/en/offers-details/residential-for-sale/villa-ground-floor-sayyida-aisha-fcb92c96,"1,400,000 LYD",Benghazi,saida aisha,4,4,500 sqm,Villa,32.0547375,20.1194219,"Special Offer from Al Diwan Real Estate Development and Investment Company | Villa for Sale
Location:
Sayyida Aisha
Villa Details:
Land Area: 500 sq m
Built-up Area: 290 sq m
Consists of:
3 Bedrooms
Reception Room
Ladies' Room
Living Room
Reception Area
4 Bathrooms
Price:
1,400,000 Libyan Dinars (Check, Same as Cash)
Additional Information:
Suitable design for large families
For inquiries or more information: Call or WhatsApp",0,0,Owner,,
https://bahu.ly/en/offers-details/residential-for-sale/villa-ground-floor-qatar-district-5ca330b3,"950,000 LYD",Benghazi,Hay Qatar,3,3,300 sqm,Villa,32.1143578,20.1073947,"Special Offer from Al Diwan Real Estate Development and Investment Company | Villa for Sale
Location:
Qatar District, behind Shell Al Masmari, Al Fitouri Scheme
Villa Details:
Land Area: 300 sq m
Built-up Area: 240 sq m
Consists of:
3 Bedrooms
3 Bathrooms
Living Room
Kitchen
Reception Room
Square
L-Shaped Setback
Additional Information:
12m x 12m Streets
Excellent Location
Price:
950,000 Libyan Dinars (Negotiable)
For inquiries or more information: Call or WhatsApp",0,0,Owner,,
https://bahu.ly/en/offers-details/residential-for-sale/villa-ground-floor-two-apartments-river-road-0fe07923,"2,000,000 LYD",Benghazi,River Road,7,5,500 sqm,Villa,32.0986926,20.1397278,"Special Offer from Al Diwan Real Estate Development and Investment Company | Villa for Sale
Location:
River Road, near the main road
Villa Details:
Land Area: 500 sq m
Built-up Area: 620 sq m (Two floors)
Consists of:
Ground Floor:
3 Bedrooms
3 Bathrooms
Indoor + Outdoor Kitchen
Large Living Room
Ladies' Salon
Reception Room
Setback throughout the entire floor
Upper Floor:
Two Apartments
Each Apartment:
2 Bedrooms
2 Bathrooms
Kitchen
Living Room
Reception Room
Additional Information:
Fully Finished 2026
River/Qatran Street
Documents: Property Certificate
Contracts Writer: Mr. Magdi Anwar
Price:
2,000,000 Libyan Dinars (Negotiable)
For inquiries or more information: Contact via phone or WhatsApp",0,0,Owner,,
https://bahu.ly/en/offers-details/residential-for-sale/villa-two-floors-janzour-d69eda15,"950,000 LYD",Tripoli,Janzour,3,3,250 sqm,Villa,32.811981,13.0135612,"Salam Al-Mustaqbal Company presents a special offer: Villa for sale – Janzour / Martyrs of Abdul Jalil
Ad No.: A136
Location: Janzour – Martyrs of Abdul Jalil, behind the Academy of Graduate Studies, a prime location close to all services
Land Area: 250 square meters
Property Type: Two-story villa within a planned development
The villa consists of:
First Floor:
Men's reception room with bathroom
Living room
Kitchen
Large internal garden
Front garden
Second Floor:
3 bedrooms
Bathroom
Balcony
Villa Features:
Gated community
12-meter wide paved street
Security camera system
Complete home security
Aluminum windows and doors with double glazing
Italian bathroom fixtures (RIMMER)
Private water well
Quiet location close to all services
Additional Information:
Legal procedures are sound and ready
Price: 950,000 Libyan Dinars
Cash or bank transfer
Company commission: 1% Buyer
For inquiries or more information, please contact us via phone or WhatsApp.",0,0,Owner,,
https://bahu.ly/en/offers-details/residential-for-sale/villa-security-cameras-benghazi-al-qawarsha-b2f64f80,"850,000 LYD",Benghazi,Qawarsheh,4,4,800 sqm,Villa,32.032532,20.0625709,"Al-Qawarsha Real Estate Office presents a special offer: Villa for sale – Benghazi / Al-Qawarsha
Location:
Benghazi – Al-Qawarsha
Opposite Shell Al-Shaltami, Al-Qawarsha Colored Buildings Street, near Masirat Al-Najh School
Property Details:
Land Area: 800 m², on two streets
Villa Built-up Area: 240 m²
Consists of:
Bedrooms
Reception Room
Living Room
Bathroom
Kitchen
Villa Features:
Security Camera System
Shared Water Well, 12,000 Liter Water Tanks
10 kW Generator to Power the Entire House
Fully Concealed Air Conditioning
Properties: Property Certificate from the Owner
Delivery Time: 1.5 months
Payment Methods: Half Cash, Half Bank Transfer
Price:
850,000 LYD (Half Cash, Half Check)
For inquiries or more information, please contact Al-Qawarsha Real Estate Office
Code: 2274",0,0,Agent,,
https://bahu.ly/en/offers-details/residential-for-sale/villa-shaqifa-compound-tripoli-road-15b95f8f,,Benghazi,University district,6,6,500 sqm,Villa,32.0535236,20.0638918,"Al Naseem Real Estate Investment Office presents a special offer: Villa for sale – Tripoli Road Shaqifa Compound
Location:
Tripoli Road – Shaqifa Compound
Villa Details:
Land Area: 500 sq m
Built Area: 320 sq m
Two separate floors
Consists of:
Bedrooms
Reception Room
Living Room
Bathroom
Kitchen
Additional Features:
Excellent villa
Prime location within a compound
For inquiries or more information, we would be honored to work with you through Al Naseem Real Estate Investment Office",0,0,Agent,,
https://bahu.ly/en/offers-details/residential-for-sale/furnished-apartment-sayyida-aisha-8b4e9f90,"500,000 LYD",Benghazi,saida aisha,3,2,190 sqm,Apartment,32.0547375,20.1194219,"Al Naseem Real Estate - Tablino presents a special offer for sale:
Property Type: Residential Apartment
Location: Sayyida Aisha - Al Jawhara 2
Floor: First Floor
Area: 190 sq m
The apartment consists of:
3 spacious bedrooms
2 bathrooms
Kitchen
Living Room
Additional Information:
The apartment is furnished
Payment Options: Half cash, half check
Price: 500,000 dinars
For inquiries or more information, please contact Al Naseem Real Estate - Tablino via phone or WhatsApp.",1,0,Owner,,
https://bahu.ly/en/offers-details/residential-for-sale/villa-modern-finishing-al-hawari-f7ad3868,"1,950,000 LYD",Benghazi,Hawary,4,4,500 sqm,Villa,32.0437183,20.1343032,"Smart Investment presents a distinctive villa for sale.
Location: Al-Hawari, near the Psychiatric Hospital (Lazurd District)
Land Area: 500 sq m
Built Area: 310 sq m
Properties: Ready property deed
Features:
Bedrooms
Living Room
Equipped Kitchen
Bathrooms
Price:
1,950,000 dinars
For inquiries or more information, please contact Smart Investment",0,0,Owner,,
https://bahu.ly/en/offers-details/residential-for-sale/apartment-furnished-daqadosta-69ad2d36,"220,000 LYD",Benghazi,Dagadosta,2,1,,Apartment,32.0580523,20.0388677,"Zilal Real Estate announces the availability of an apartment for sale in a prime location in Daqadosta – Elaf Hotel Street, suitable for family living.
Location: Daqadosta – Elaf Hotel Street
Ground Floor
Apartment Details:
Two Bedrooms
Bathroom
Living Room
Kitchen
Additional Information:
Price: 220,000 Libyan Dinars
Furnished
For any inquiries or further information, please contact Zilal Real Estate.",1,0,Owner,,
https://bahu.ly/en/offers-details/residential-for-sale/villa-ground-floor-benghazi-zamzam-district-0ff8d772,"950,000 LYD",Benghazi,Zamzam neighborhood,3,3,400 sqm,Villa,32.0891875,20.1437031,"Al Jawda Real Estate presents a special offer for a villa for sale, ready to move in and in excellent condition, in a prime location in Benghazi.
Location: Benghazi – Zamzam District (near Qatar District)
Total Area: 400 sq m
Built Area: 250 sq m
The villa consists of:
Men's Reception Room
Ladies' Reception Room
Reception Hall
3 Bedrooms
Equipped Kitchen
3 Bathrooms
Additional Information:
The villa is in excellent condition
All paperwork is 100% complete
Price: 950,000 LYD
For inquiries or more information, please contact us by phone or WhatsApp.",0,0,Owner,,
https://bahu.ly/en/offers-details/residential-for-sale/villa-two-floors-and-annex-tripoli---al-sarraj-93b52e85,"1,200,000 LYD",Tripoli,Al Serraj,5,5,180 sqm,Villa,32.8219063,13.0760273,"Villa for sale in Tripoli, Al-Sarraj area, within a private and gated community, in excellent condition.
Location:
Al-Sarraj - Al-Mawashi Road - After Royal Hall
Land Area: 180 sq m
Built-up Area: 380 sq m
The villa consists of:
Ground Floor:
Men's reception room with bathroom
Women's reception room with bathroom
Kitchen
Living room
Internal courtyard with a medium-sized swimming pool
First Floor:
Living room
Kitchenette
Master bedroom with bathroom and balcony
Two bedrooms
Bathroom
Annex:
Bedroom
Bathroom
Salon
Large balcony
Additional Features:
Interior design under expert architectural supervision
Modern finishing (2025)
Private water well for the villa
12-meter wide paved street
Quiet and suitable residential location
Price:
1,200,000 Libyan Dinars
For inquiries or more information, please contact us by phone or WhatsApp.",0,0,Owner,,0.0
https://bahu.ly/en/offers-details/residential-for-sale/villa-bizma-two-floors-and-annex-janzour-036b2c9a,"2,700,000 LYD",Tripoli,Janzour,5,5,500 sqm,Villa,32.811981,13.0135612,"Villa for sale in Tripoli, Janzour area – Kuwait neighborhood, in a prime location with two street frontages.
Location: Tripoli – Janzour – Kuwait neighborhood
Land area: 500 sq m
Built-up area: Approximately 600 sq m
Located on two street frontages with a 16-meter wide street
The villa consists of:
Ground floor:
Men's reception room with bathroom
Women's lounge with bathroom
Kitchen
Living room
Outdoor swimming pool
First floor:
Living room
Kitchenette
Master bedroom with bathroom and balcony
Two bedrooms
Bathroom
Annex:
Bedroom
Bathroom
Additional features:
Interior design under expert engineering supervision
Private water well for the villa
Price:
2,700,000 Libyan Dinars
For inquiries or more information, please contact us by phone or WhatsApp.",0,0,Owner,,
https://bahu.ly/en/offers-details/residential-for-sale/apartment-above-ground-al-sarraj-315a3d86,"450,000 LYD",Tripoli,Al Serraj,3,3,190 sqm,Apartment,32.8219063,13.0760273,"Zain Real Estate Marketing and Rentals presents a special offer for sale:
Property Type: Residential Apartments
Floor:
Apartment on the above ground floor
Location: Janzour - Al-Sarraj, extension of Al-Mawashi Road
Opposite Ibrahim Al-Khalil Mosque and behind Royal Events Hall
External: Inside a three-story residential building, one apartment per floor
Residential Environment: Gated residential complex, fully paved, quiet location close to services
Area: 190 square meters per apartment
The apartment consists of:
Two bedrooms
Master bedroom with ensuite bathroom
Living room with balcony
Kitchen
Reception room with guest bathroom
Service bathroom between bedrooms
Additional Information:
The above ground floor apartment is fully finished and modern
Price: 450,000 Libyan Dinars
For inquiries or more information, please contact us by phone or WhatsApp.",0,0,Owner,,0.0
https://bahu.ly/en/offers-details/residential-for-sale/house-rooftop-balkhair-0016672f,"390,000 LYD",Tripoli,Ain Zara Road,5,1,175 sqm,House,32.8265702,13.2573047,"Al Nakheel General Contracting and Real Estate Investment Company offers a special offer for a first-floor house with a separate entrance. It features a suitable area and a prime location in the Balkhair area.
Location: Balkhair
Land area: 175 square meters
Apartment consists of:
5 rooms
Kitchen
Bathroom
2 balconies
Rooftop with:
2 storage rooms
Additional information:
Separate entrance
Requires some maintenance
Location close to all vital services
Price: 390,000 (negotiable)
For inquiries or more information, please contact us via phone or WhatsApp.",0,0,Owner,,
https://bahu.ly/en/offers-details/residential-for-sale/villa-a-semi-finished-al-saraj-edb5406a,,Tripoli,Al Serraj,4,4,265 sqm,Villa,32.8219063,13.0760273,"Erhuma Team offers A semi-finished two-story villa with an annex for sale
Location: Al-Saraj, East.
Land area: 265 m2
Roof area: 417 m2
Consists of:
Indoor and outdoor garden
Indoor swimming pool
2 living rooms and a kitchen
4 bathrooms
3 bedrooms
Maid's room in the annex
For more information, please contact us by clicking the contact button or sending us a message via WhatsApp.",0,0,Owner,,
https://bahu.ly/en/offers-details/residential-for-sale/apartments-semi-finished-benghazi-al-sarraj-district-5824aed2,,Benghazi,Al-Sarraj neighborhood,2,2,140 sqm,Apartment,32.0634375,20.1585625,"Omar Al-Shukri Contracting and Real Estate Investment Company offers skeleton apartments for sale.
Location: Benghazi - Al-Sarraj District
Built-up area: 140 square meters
The apartment consists of:
2 bedrooms
2 bathrooms
Square room
Living room
Kitchen
Balcony
For inquiries or more details, please contact us via phone or WhatsApp.",0,0,Owner,,
https://bahu.ly/en/offers-details/residential-for-sale/house-ready-to-move-in-al-halis-871674dd,,Benghazi,Al-Halis,3,2,500 sqm,House,31.9211375,19.9630469,"Al-Qawarsha Real Estate Office presents a special offer | House for Sale
Code: 2349
Location: Al-Halis - Al-Shakmak Street, Tripoli Road after Shell Al-Jabu - Benghazi
Land Area: 500 m²
Built Area: 170 m²
House Details:
3 Bedrooms
Living Room
Kitchen
Reception Room
2 Bathrooms
House Features:
Modern construction, ready to move in
Foundation: Foundation, columns, and beams
4 Air Conditioners (18,000 BTU)
Water Heaters
Ready-Made Kitchen Cabinets
Storage Room
Al-Qawarsha Real Estate Investment and General Contracting Office is pleased to serve you and answer all your inquiries.",0,0,Agent,,0.0
