price,location,city,neighborhood,bedrooms,bathrooms,furnished?,surface_area,land_area,number_of_floors,building_age,facade,property_mortgaged?,lister_type,payment_method,category,subcategory,floor,reference_id,main_amenities,nearby,additional_amenities,property_status,country,real_estate_type,zoned_for
1300000.0,"https://www.google.com/maps/search/?api=1&query=32.818401,13.300449&zoom=15",Tripoli,Ain Zara,More Than 6 Bedrooms,More Than 6 Bathrooms,Furnished,450 meter square,500 meter square,2 Floors,6 - 9 years,Southern,No,Agent,Cash,Property For Sale,Villas for Sale,,,,,,,,,
1600000.0,"https://www.google.com/maps/search/?api=1&query=32.874424,13.277641&zoom=15",Tripoli,Souq Al-Juma'a,More Than 6 Bedrooms,More Than 6 Bathrooms,Semi Furnished,500 meter square,360 meter square,2 Floors,6 - 9 years,Northern,No,Agent,Cash,Property For Sale,Homes for Sale,,0000004,,,,,,,
1750000.0,"https://www.google.com/maps/search/?api=1&query=32.889709,13.261527&zoom=15",Tripoli,Souq Al-Juma'a,More Than 6 Bedrooms,More Than 6 Bathrooms,Unfurnished,400 meter square,250 meter square,2 Floors,0 - 11 months,Southern,No,Agent,Cash,Property For Sale,Homes for Sale,,312,,,,,,,
200000.0,,Zliten,Other,Studio,One Bathroom,Unfurnished,80 meter square,,,0 - 11 months,Northeast,No,Landlord,Cash,Property For Sale,Farms & Chalets for Sale,,,,,,,,,
290000.0,"https://www.google.com/maps/search/?api=1&query=32.763028,12.736496&zoom=15",Zawiya,Other,3 Bedrooms,2 Bathrooms,Furnished,150 meter square,,,1 - 5 years,Northeast,No,Landlord,Cash,Property For Sale,Apartments for Sale,Ground Floor,,,,,,,,
650000.0,"https://www.google.com/maps/search/?api=1&query=32.805893,13.319472&zoom=15",Tripoli,Ain Zara,More Than 6 Bedrooms,5 Bathrooms,Unfurnished,310 meter square,180 meter square,2 Floors,Under Construction,Northeast,No,Landlord,Cash,Property For Sale,Villas for Sale,,62185,Maid Room,,,,,,
675000.0,"https://www.google.com/maps/search/?api=1&query=31.997295,19.9704&zoom=15",Benghazi,Qanfooda,,,,150 meter square,400 meter square,1 Floor,0 - 11 months,Southwest,No,Agent,Cash,Property For Sale,Whole Building for Sale,,,,,,Complete,,,
725000.0,"https://www.google.com/maps/search/?api=1&query=32.837627,13.312297&zoom=15",Tripoli,Tareeq Al-Mashtal,3 Bedrooms,3 Bathrooms,Unfurnished,260 meter square,300 meter square,1 Floor,Under Construction,Eastern,No,Landlord,Cash,Property For Sale,Villas for Sale,,274033387,,,,,,,
900000.0,"https://www.google.com/maps/search/?api=1&query=32.854565,13.299747&zoom=15",Tripoli,Tareeq Al-Mashtal,More Than 6 Bedrooms,More Than 6 Bathrooms,Unfurnished,430 meter square,250 meter square,2 Floors,Under Construction,Southwest,No,Agent,Cash,Property For Sale,Villas for Sale,,,,,,,,,
2000000.0,"https://www.google.com/maps/search/?api=1&query=32.032207,20.103458&zoom=15",Benghazi,Al Hawary,More Than 6 Bedrooms,More Than 6 Bathrooms,Unfurnished,320 meter square,2000 meter square,1 Floor,1 - 5 years,,No,Agent,Cash,Property For Sale,Villas for Sale,,,,,,,,,
650000.0,"https://www.google.com/maps/search/?api=1&query=32.730728,13.157012&zoom=15",Tripoli,Abu Saleem,4 Bedrooms,4 Bathrooms,Semi Furnished,130 meter square,140 meter square,2 Floors,1 - 5 years,Southern,No,Landlord,Cash,Property For Sale,Homes for Sale,,,Installed Kitchen,,,,,,
400000.0,,Tripoli,Al-Hadba Al-Khadra,More Than 6 Bedrooms,2 Bathrooms,Semi Furnished,132 meter square,132 meter square,2 Floors,20+ years,Southern,No,Landlord,Cash,Property For Sale,Homes for Sale,,,Air Conditioning,Mosque,Garage Parking,,,,
3000000.0,"https://www.google.com/maps/search/?api=1&query=32.79206,13.063791&zoom=15",Tripoli,Al-Serraj,More Than 6 Bedrooms,More Than 6 Bathrooms,Semi Furnished,300 meter square,500 meter square,2 Floors,10 - 19 years,Western,No,Landlord,Cash,Property For Sale,Villas for Sale,,,Air Conditioning,School,Garage Parking,,,,
430000.0,,Tripoli,Bin Ashour,2 Bedrooms,One Bathroom,Unfurnished,1 meter square,,,0 - 11 months,Southern,No,Agent,Cash,Property For Sale,Apartments for Sale,Ground Floor,1,Air Conditioning,Mosque,Garden,,,,
700000.0,,Tripoli,Fashloum,5 Bedrooms,3 Bathrooms,Unfurnished,1 meter square,,,0 - 11 months,Southern,No,Agent,Cash,Property For Sale,Apartments for Sale,Third Floor,1,Air Conditioning,Mosque,,,,,
600000.0,"https://www.google.com/maps/search/?api=1&query=32.827942,13.381835&zoom=15",Tripoli,Tajura,More Than 6 Bedrooms,4 Bathrooms,Unfurnished,230 meter square,2500 meter square,1 Floor,6 - 9 years,,No,Agent,Cash,Property For Sale,Homes for Sale,,,,,,,,,
777770.0,"https://www.google.com/maps/search/?api=1&query=32.77301,13.222767&zoom=15",Tripoli,Khallet Alforjan,5 Bedrooms,2 Bathrooms,Unfurnished,200 meter square,702 meter square,1 Floor,10 - 19 years,Northern,No,Landlord,Cash,Property For Sale,Homes for Sale,,,,,,,,,
1000000.0,"https://www.google.com/maps/search/?api=1&query=31.936954,20.137913&zoom=15",Benghazi,Al Hawary,4 Bedrooms,3 Bathrooms,Unfurnished,285 meter square,2000 meter square,1 Floor,Under Construction,Eastern,No,Landlord,Cash,Property For Sale,Homes for Sale,,,,Mosque,Storage,,,,
20000.0,"https://www.google.com/maps/search/?api=1&query=32.959438,13.190663&zoom=15",Tripoli,Al-Serraj,More Than 6 Bedrooms,More Than 6 Bathrooms,Unfurnished,400 meter square,270 meter square,2 Floors,0 - 11 months,Southeast,No,Landlord,Cash,Property For Sale,Villas for Sale,,,,,,,,,
185000.0,"https://www.google.com/maps/search/?api=1&query=32.769264,13.181019&zoom=15",Tripoli,Khalatat St,3 Bedrooms,2 Bathrooms,Unfurnished,120 meter square,,,0 - 11 months,Eastern,No,Landlord,Cash,Property For Sale,Apartments for Sale,First Floor,,,,,,,,
115000.0,"https://www.google.com/maps/search/?api=1&query=32.769264,13.181019&zoom=15",Tripoli,Khalatat St,1 Bedroom,One Bathroom,Unfurnished,60 meter square,,,6 - 9 years,Northern,No,Landlord,,Property For Sale,Apartments for Sale,Third Floor,,,,,,,,
1800000.0,"https://www.google.com/maps/search/?api=1&query=32.869787,13.254533&zoom=15",Tripoli,Souq Al-Juma'a,More Than 6 Bedrooms,More Than 6 Bathrooms,Semi Furnished,475 meter square,365 meter square,3 Floors,1 - 5 years,Eastern,No,Landlord,Cash,Property For Sale,Villas for Sale,,,,,,,,,
400000.0,"https://www.google.com/maps/search/?api=1&query=32.8699,13.164082&zoom=15",Tripoli,Al-Masira Al-Kubra St,4 Bedrooms,One Bathroom,Unfurnished,2 meter square,,,20+ years,Eastern,No,Landlord,Cash,Property For Sale,Apartments for Sale,Third Floor,,,,,,,,
1100000.0,"https://www.google.com/maps/search/?api=1&query=32.863453,13.285184&zoom=15",Tripoli,Ain Zara,5 Bedrooms,3 Bathrooms,Furnished,310 meter square,525 meter square,1 Floor,1 - 5 years,Eastern,No,Landlord,Cash,Property For Sale,Homes for Sale,,,,,,,,,
175000.0,"https://www.google.com/maps/search/?api=1&query=32.860039,13.169038&zoom=15",Tripoli,Salah Al-Din,2 Bedrooms,2 Bathrooms,Unfurnished,125 meter square,,,Under Construction,Northeast,No,Landlord,,Property For Sale,Apartments for Sale,Basement Floor,125,Built in Wardrobes,,Elevator,,,,
165000.0,"https://www.google.com/maps/search/?api=1&query=32.850021,13.204186&zoom=15",Tripoli,Salah Al-Din,2 Bedrooms,2 Bathrooms,Unfurnished,125 meter square,,,Under Construction,Northeast,No,Landlord,,Property For Sale,Apartments for Sale,Ground Floor,0931455504,Built in Wardrobes,,,,,,
600000.0,"https://www.google.com/maps/search/?api=1&query=32.770691,13.277678&zoom=15",Tripoli,Ain Zara,4 Bedrooms,2 Bathrooms,Unfurnished,270 meter square,280 meter square,2 Floors,0 - 11 months,Northern,No,Landlord,Cash,Property For Sale,Homes for Sale,,,,,,,,,
250000.0,,Tripoli,Tajura,3 Bedrooms,2 Bathrooms,Furnished,147 meter square,250 meter square,1 Floor,0 - 11 months,Northern,No,Landlord,Cash,Property For Sale,Villas for Sale,,0934407320,,,,,,,
450000.0,,Tripoli,Al-Serraj,3 Bedrooms,3 Bathrooms,Unfurnished,160 meter square,180 meter square,1 Floor,0 - 11 months,Western,No,Landlord,Cash,Property For Sale,Villas for Sale,,,,,,,,,
950000.0,"https://www.google.com/maps/search/?api=1&query=32.650286,14.242409&zoom=15",Al Khums,Other,More Than 6 Bedrooms,4 Bathrooms,Unfurnished,280 meter square,440 meter square,2 Floors,10 - 19 years,,No,Landlord,,Property For Sale,Homes for Sale,,,Balcony,,Storage,,,,
10000.0,"https://www.google.com/maps/search/?api=1&query=32.816667,13.266667&zoom=15",Tripoli,Ain Zara,3 Bedrooms,4 Bathrooms,Furnished,245 meter square,735 meter square,2 Floors,6 - 9 years,,No,Landlord,Cash,Property For Sale,Villas for Sale,,,,,,,,,
3250000.0,,Tripoli,Al-Serraj,More Than 6 Bedrooms,More Than 6 Bathrooms,Unfurnished,600 meter square,500 meter square,2 Floors,0 - 11 months,,No,Agent,Cash,Property For Sale,Villas for Sale,,,,,,,,,
3000000.0,"https://www.google.com/maps/search/?api=1&query=32.827545,13.404595&zoom=15",Tripoli,Tajura,More Than 6 Bedrooms,More Than 6 Bathrooms,Furnished,380 meter square,4800 meter square,1 Floor,20+ years,Eastern,No,Landlord,Cash,Property For Sale,Homes for Sale,,0913710095,,,,,,,
140000.0,"https://www.google.com/maps/search/?api=1&query=32.773248,13.18715&zoom=15",Tripoli,Khalatat St,3 Bedrooms,2 Bathrooms,Unfurnished,120 meter square,,,0 - 11 months,Northeast,No,Landlord,Cash,Property For Sale,Apartments for Sale,Second Floor,,Balcony,,,,,,
8700.0,"https://www.google.com/maps/search/?api=1&query=32.102261,20.062944&zoom=15",Benghazi,Venice,3 Bedrooms,2 Bathrooms,Unfurnished,160 meter square,,,0 - 11 months,Northeast,No,Agent,Cash,Property For Sale,Apartments for Sale,First Floor,,,,,,,,
1111112.0,"https://www.google.com/maps/search/?api=1&query=32.825889,13.352478&zoom=15",Tripoli,Al-Bivio,4 Bedrooms,3 Bathrooms,Unfurnished,230 meter square,1000 meter square,1 Floor,10 - 19 years,Southeast,No,Landlord,Cash,Property For Sale,Villas for Sale,,,Air Conditioning,,,,,,
770000.0,"https://www.google.com/maps/search/?api=1&query=32.751374,13.252247&zoom=15",Tripoli,Ain Zara,3 Bedrooms,4 Bathrooms,Unfurnished,310 meter square,180 meter square,2 Floors,0 - 11 months,Northern,No,Landlord,Cash,Property For Sale,Homes for Sale,,,Balcony,,Garage Parking,,,,
975000.0,"https://www.google.com/maps/search/?api=1&query=32.821907,13.076027&zoom=15",Tripoli,Al-Serraj,4 Bedrooms,5 Bathrooms,Unfurnished,345 meter square,175 meter square,3 Floors,0 - 11 months,Southeast,No,Agent,Cash,Property For Sale,Villas for Sale,,27,,,,,,,
1800000.0,"https://www.google.com/maps/search/?api=1&query=32.830322,13.102814&zoom=15",Tripoli,Al-Serraj,More Than 6 Bedrooms,4 Bathrooms,Unfurnished,440 meter square,500 meter square,3 Floors,10 - 19 years,Northeast,No,Landlord,Cash,Property For Sale,Villas for Sale,,,,,,,,,
1900000.0,"https://www.google.com/maps/search/?api=1&query=32.859199,13.129345&zoom=15",Tripoli,Kashlaf,3 Bedrooms,One Bathroom,Unfurnished,280 meter square,280 meter square,3 Floors,20+ years,Northeast,No,Agent,Cash,Property For Sale,Homes for Sale,,,Refrigerator,,Elevator,,,,
950000.0,"https://www.google.com/maps/search/?api=1&query=32.783749,13.070095&zoom=15",Tripoli,Al-Serraj,3 Bedrooms,4 Bathrooms,Unfurnished,260 meter square,465 meter square,1 Floor,6 - 9 years,Western,No,Agent,Cash,Property For Sale,Villas for Sale,,,,,Garage Parking,,,,
1800000.0,"https://www.google.com/maps/search/?api=1&query=32.0625,20.138602&zoom=15",Benghazi,Al-Sindibad District,More Than 6 Bedrooms,4 Bathrooms,Semi Furnished,320 meter square,500 meter square,2 Floors,0 - 11 months,Northeast,No,Agent,Cash,Property For Sale,Villas for Sale,,,,,,,,,
325000.0,"https://www.google.com/maps/search/?api=1&query=32.397938,15.035662&zoom=15",Misrata,Other,3 Bedrooms,2 Bathrooms,Furnished,120 meter square,,,10 - 19 years,Northwest,No,Landlord,,Property For Sale,Apartments for Sale,First Floor,,,,,,,,
90000.0,"https://www.google.com/maps/search/?api=1&query=32.446109,13.200233&zoom=15",Tripoli,Wadi Al-Rabi,3 Bedrooms,2 Bathrooms,Semi Furnished,120 meter square,300 meter square,1 Floor,Under Construction,,No,Agent,Cash,Property For Sale,Homes for Sale,,,,Mosque,,,,,
1350000.0,,Benghazi,Al-Hai Al-Jamei,3 Bedrooms,3 Bathrooms,Unfurnished,560 meter square,400 meter square,1 Floor,Under Construction,Northern,No,Agent,Cash,Property For Sale,Villas for Sale,,2233,,,,,,,
1250000.0,,Benghazi,Al Nahr Road,More Than 6 Bedrooms,4 Bathrooms,Unfurnished,250 meter square,500 meter square,,Under Construction,Southern,No,Agent,Cash,Property For Sale,Villas for Sale,,2233,,,,,,,
200000.0,,Benghazi,Al-Majouri,2 Bedrooms,One Bathroom,Unfurnished,100 meter square,,,Under Construction,Southern,No,Agent,Cash,Property For Sale,Apartments for Sale,Second Floor,2233,,,,,,,
450000.0,"https://www.google.com/maps/search/?api=1&query=32.097365,20.100874&zoom=15",Benghazi,Al Hada'iq,4 Bedrooms,2 Bathrooms,Unfurnished,150 meter square,,,10 - 19 years,Western,No,Landlord,Cash,Property For Sale,Apartments for Sale,Sixth floor,,,,,,,,
355000.0,,Tripoli,Fashloum,4 Bedrooms,2 Bathrooms,Unfurnished,147 meter square,150 meter square,1 Floor,10 - 19 years,Northwest,No,Agent,Cash,Property For Sale,Homes for Sale,,170,,,,,,,
580000.0,"https://www.google.com/maps/search/?api=1&query=32.741593,13.403837&zoom=15",Tripoli,Tajura,4 Bedrooms,3 Bathrooms,Unfurnished,160 meter square,500 meter square,,1 - 5 years,Eastern,No,Landlord,Cash,Property For Sale,Farms & Chalets for Sale,,,Private Pool,,,,,,
975000.0,"https://www.google.com/maps/search/?api=1&query=32.803745,13.041971&zoom=15",Tripoli,Al-Serraj,More Than 6 Bedrooms,5 Bathrooms,Unfurnished,390 meter square,165 meter square,3 Floors,Under Construction,Eastern,No,Agent,Cash,Property For Sale,Villas for Sale,,,,,,,,,
850000.0,"https://www.google.com/maps/search/?api=1&query=32.84034,13.125591&zoom=15",Tripoli,Edraibi,More Than 6 Bedrooms,2 Bathrooms,Semi Furnished,142 meter square,132 meter square,3 Floors,6 - 9 years,Western,No,Landlord,Cash,Property For Sale,Homes for Sale,,,,,Storage,,,,
560000.0,"https://www.google.com/maps/search/?api=1&query=32.871067,13.29159&zoom=15",Tripoli,Souq Al-Juma'a,4 Bedrooms,2 Bathrooms,Unfurnished,165 meter square,,,0 - 11 months,Eastern,No,Landlord,Cash,Property For Sale,Apartments for Sale,Second Floor,,,,,,,,
11111110.0,"https://www.google.com/maps/search/?api=1&query=32.866671,13.2176&zoom=15",Tripoli,Old Soar Road,4 Bedrooms,One Bathroom,Unfurnished,110 meter square,110 meter square,2 Floors,20+ years,Southeast,No,Landlord,Cash,Property For Sale,Homes for Sale,,,,,,,,,
600000.0,,Tripoli,Souq Al-Juma'a,3 Bedrooms,2 Bathrooms,Unfurnished,153 meter square,153 meter square,1 Floor,Under Construction,,No,Agent,Cash,Property For Sale,Homes for Sale,,0927014874,,,,,,,
575000.0,"https://www.google.com/maps/search/?api=1&query=32.836273,13.487006&zoom=15",Tripoli,Al-Mansoura,5 Bedrooms,One Bathroom,Unfurnished,170 meter square,,,10 - 19 years,Northern,No,Agent,Cash,Property For Sale,Apartments for Sale,Ground Floor,,Air Conditioning,,,,,,
5000000.0,"https://www.google.com/maps/search/?api=1&query=31.976106,12.866917&zoom=15",Tripoli,Al-Jamahirriyah St,3 Bedrooms,One Bathroom,Unfurnished,120 meter square,,,10 - 19 years,Northern,No,Agent,Cash,Property For Sale,Apartments for Sale,Fifth Floor,,,,,,,,
450000.0,"https://www.google.com/maps/search/?api=1&query=32.880876,13.184259&zoom=15",Tripoli,Al-Sidra,5 Bedrooms,3 Bathrooms,Furnished,180 meter square,,,1 - 5 years,Eastern,No,Landlord,Cash,Property For Sale,Apartments for Sale,Ground Floor,‏‪0934172781‬‏,,,,,,,
350000.0,"https://www.google.com/maps/search/?api=1&query=32.792728,13.230059&zoom=15",Misrata,Tripoli St,,,,320 meter square,320 meter square,5+ floors,0 - 11 months,Northern,No,Agent,Cash,Property For Sale,Whole Building for Sale,,,,,,Complete,,,
3500000.0,,Benghazi,Bu Hadi,3 Bedrooms,3 Bathrooms,Furnished,180 meter square,800 meter square,1 Floor,Under Construction,Western,No,Agent,Cash,Property For Sale,Homes for Sale,,0,,,,,,,
650000.0,"https://www.google.com/maps/search/?api=1&query=32.842282,13.171151&zoom=15",Tripoli,Al-Jabs,More Than 6 Bedrooms,5 Bathrooms,Unfurnished,400 meter square,330 meter square,3 Floors,Under Construction,,No,Landlord,Cash,Property For Sale,Villas for Sale,,,,,,,,,
1200000.0,,Tripoli,Al-Jabs,More Than 6 Bedrooms,5 Bathrooms,Unfurnished,170 meter square,330 meter square,3 Floors,0 - 11 months,,No,Landlord,Cash,Property For Sale,Villas for Sale,,,Laundry Room,,,,,,
925000.0,"https://www.google.com/maps/search/?api=1&query=32.843338,13.14047&zoom=15",Tripoli,Souq Al-Juma'a,4 Bedrooms,2 Bathrooms,Furnished,2434 meter square,2434 meter square,1 Floor,10 - 19 years,Western,No,Agent,Cash,Property For Sale,Homes for Sale,,,,Parking,,,,,
920000.0,"https://www.google.com/maps/search/?api=1&query=32.801823,13.11816&zoom=15",Tripoli,Al-Bivio,4 Bedrooms,3 Bathrooms,Furnished,240 meter square,1000 meter square,1 Floor,6 - 9 years,Southeast,No,Landlord,Cash,Property For Sale,Homes for Sale,,,Air Conditioning,Mosque,Garden,,,,
5836.0,"https://www.google.com/maps/search/?api=1&query=32.874874,13.254805&zoom=15",Tripoli,Khallet Alforjan,2 Bedrooms,One Bathroom,Semi Furnished,100 meter square,1100 meter square,1 Floor,10 - 19 years,,No,Landlord,Cash,Property For Sale,Homes for Sale,,,,,,,,,
825000.0,"https://www.google.com/maps/search/?api=1&query=32.871126,13.312342&zoom=15",Benghazi,As-Sulmani Al-Sharqi,3 Bedrooms,One Bathroom,Unfurnished,120 meter square,,,20+ years,Southeast,No,Agent,Cash,Property For Sale,Apartments for Sale,First Floor,,Balcony,,,,,,
550000.0,"https://www.google.com/maps/search/?api=1&query=32.778446,13.205771&zoom=15",Tripoli,Zawiyat Al Dahmani,4 Bedrooms,3 Bathrooms,Unfurnished,160 meter square,,,0 - 11 months,Northeast,No,Agent,Cash,Property For Sale,Apartments for Sale,Ninth floor,,,,,,,,
180000.0,,Tripoli,Bab Bin Ghashier,2 Bedrooms,One Bathroom,Furnished,130 meter square,,,20+ years,Northern,No,Agent,Cash,Property For Sale,Apartments for Sale,Sixth floor,,,,,,,,
950000.0,,Tripoli,Bin Ashour,More Than 6 Bedrooms,4 Bathrooms,Furnished,180 meter square,250 meter square,3 Floors,6 - 9 years,Eastern,No,Agent,Cash,Property For Sale,Villas for Sale,,,,,,,,,
450000.0,,Tripoli,Al-Masira Al-Kubra St,3 Bedrooms,One Bathroom,Unfurnished,130 meter square,,,10 - 19 years,Northeast,No,Agent,Cash,Property For Sale,Apartments for Sale,Third Floor,,,,,,,,
3500000.0,"https://www.google.com/maps/search/?api=1&query=32.880123,13.207019&zoom=15",Tripoli,Ain Zara,4 Bedrooms,3 Bathrooms,Semi Furnished,300 meter square,500 meter square,1 Floor,6 - 9 years,Northeast,No,Agent,Cash,Property For Sale,Villas for Sale,,,,,,,,,
